,Lemon Juice,Ginger,Mayo,Egg,Oil,Milk powder (almond/soy)?,Butter,Flour,Pepper,Salt,Water,Tomato Paste,Garlic,Oregano,Papirika,Basil,Thai Curry Paste,chicken paste,mushroom paste,green veg paste,pork paste,shrimp paste,"""flavor""",Turmeric,garam masala,Onion paste,Chickpea powder,Chili Powder Spice Blend (green+red chili powder),Cumin+Star Anise+curry powder,Indian EFK,Italian EFK (Pizza Sauce paste),Chinese EFK,Thai EFK (Green Curry Paste),Russian EFK,Mexican EFK,Source
Eggless Pasta,,,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,http://allrecipes.com/Recipe/Eggless-Pasta/Detail.aspx?evt19=1&referringHubId=494
Sauce,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,http://allrecipes.com/Recipe/Easy-Pizza-Sauce-III/Detail.aspx?evt19=1&referringHubId=567
White Gravy,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger Garlic Paste,,x,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Garlic Butter Sauce,,,,,,,x,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,http://allrecipes.com/Recipe/Garlic-Butter-Sauce-I/Detail.aspx?event8=1&prop24=SR_Thumb&e11=garlic%20sauce&e8=Quick%20Search&event10=1&e7=Recipe&soid=sr_results_p1i16
Garli Aioli,x,,x,,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Curry,,x,,,,,,,x,,,,x,,,x,x,,,,,,x,,,,,,,,,,,,,
Moo Goo Gai Pan,,x,,,x,,,,x,x,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
spam and eggs,,,,x,,,,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,
biscuts and gravy,,,,,,x,x,x,x,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,,
padd thai,x,x,,x,x,,,x,x,,x,,,,,x,,x,x,,,x,x,,,,,,,,,,,,,
shrimp dumpling,,,,,x,,,x,x,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,
wonton soup,,x,,,x,,,x,x,x,x,,x,,,,,,x,,x,x,,,,,,,,,,,,,,
biscuits and gravy,,,,,,x,x,x,x,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,
cookie,,,,,,x,x,x,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,
egg breakfast bake,,,,x,x,x,x,x,x,x,x,,x,,,,,,x,,x,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channa Masala,x,x,,,x,,,,,x,x,x,x,x,x,,,,,,,,,x,,,x,x,,,,,,,,
Veg Tikka Masala,x,x,,,x,,,,,x,x,x,x,,,,,,,x,,,x,x,x,x,,x,,,,,,,,http://www.eatingwell.com/recipes/vegetarian_tikka_masala.html
Indian EFK,,x,,,,,,,,x,,,x,,,,,,,,,,,x,x,,,x,x,,,,,,,
quesadilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold glass of milk,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
